text,category
Bowling 04/08,Entertainment
audible membership williamsland,Subscription
Spent 327.66 on Tuition payment,Education
Rent payment Mccoyside,Housing
Eye exam,Healthcare
Pet food 03/14,Other
spent 84.55 on online course,Education
Home decor 04/05,Shopping
House payment Ritterstad,Housing
I spent $364.60 on Tuition payment last month,Education
movie theater txn-66254324,Entertainment
I spent 217.50 on Health insurance premium,Healthcare
Vitamins and supplements $229.98,Healthcare
Paid $33.66 for Gas station,Transport
I spent $462.79 on Home decor last month,Shopping
Concert tickets,Entertainment
Vitamins and supplements,Healthcare
HBO Max 03/28,Subscription
Spent 327.02 on Theme park,Entertainment
Parking ticket 02/03 PqOtED,Transport
Spent $35.36 on Home decor,Shopping
Shoes purchase cost me 484.73,Shopping
Eye exam 03/04,Healthcare
Kitchen supplies TXN-51610173,Shopping
had to pay $389.46 for Disney+ subscription,Subscription
Paid 115.89 for Pharmacy prescription,Healthcare
Costco groceries 04/16,Food
i paid $159.82 at language learning app,Education
internet service monicaport,Utilities
I spent 267.01 on School supplies,Education
Charged $404.33 to Pharmacy,Other
Udemy course,Education
internet service cost $334.42,Utilities
Escape room,Entertainment
i paid $86.10 at home decor,Shopping
i bought subway sandwich $339.06,Food
spent $475.02 on doctor copay,Other
I bought Pet food $138.17,Other
Bought KFC for $406.69 nztRqg,Food
Tuition payment,Education
Charged $326.24 to Textbook purchase,Education
Property tax 03/31,Housing
I spent 13.77 on Gift,Other
google one storage andersonside,Subscription
Paid $497.88 for Concert tickets last month,Entertainment
Amazon Prime,Subscription
Spent $436.61 on Doctor copay,Other
property tax cost $63.43,Housing
I spent $178.36 on Dry cleaning,Other
rent payment south reneeville,Housing
Paid $457.98 for Furniture store,Shopping
paid $129.19 for apartment rent,Housing
Spent $299.54 on Car insurance,Transport
Book purchase TXN-05417803,Other
Furniture store TXN-63955446,Shopping
tutoring session,Education
karaoke night cost $171.24 on monday,Entertainment
I paid $105.28 at Dry cleaning,Other
$242.75 for Vitamins and supplements,Healthcare
$363.04 for apartment rent,Housing
Bus ticket,Transport
comedy show,Entertainment
$141.68 for phone bill at&t,Utilities
i spent 326.62 on pizza delivery,Food
Paid $350.57 for Car repair,Transport
Paid 140.46 for Starbucks last month,Food
spotify premium $406.97,Subscription
had to pay $173.19 for Furniture store,Shopping
Property tax 02/24,Housing
had to pay $203.24 for Coffee shop,Food
paid 211.88 for department store,Shopping
purchased Gas station for $290.45,Transport
dental checkup 01/07,Healthcare
I paid $137.91 at Concert tickets,Entertainment
I spent 215.94 on Furniture store,Shopping
bought pet food for $11.53,Other
I spent $458.11 on Tutoring session,Education
gas bill txn-29772209,Utilities
Maintenance Lopezberg,Housing
i spent 196.69 on udemy course on 03/18,Education
Charged $302.38 to Pet food today,Other
Paid 149.46 for Coursera subscription,Education
Charged $253.67 to Dining at Olive Garden this week,Food
I paid $318.53 at Amazon purchase on Monday,Shopping
Urgent care visit TXN-46766403,Healthcare
HOA fees TXN-08793188,Housing
i paid $99.65 at eye exam,Healthcare
Vitamins and supplements TXN-03356982,Healthcare
Gas bill $498.64,Utilities
paid 428.81 for phone bill at&t,Utilities
Lab tests $232.41,Healthcare
Movie theater Port Derekshire,Entertainment
purchased Water bill for $221.29,Utilities
eye exam txn-24015516,Healthcare
Tutoring session,Education
Online course,Education
purchased Heating bill for $271.05,Utilities
i spent 269.04 on lab tests,Healthcare
I spent 265.63 on Apartment rent,Housing
I bought Pharmacy prescription $91.71 this week,Healthcare
i spent 230.42 on cell phone bill,Utilities
HBO Max cost me 151.82 today,Subscription
I bought Property tax $442.68 yesterday,Housing
Uber trip New Johnland,Transport
I spent $390.90 on Clothing store,Shopping
Workshop fee 02/02,Education
Online shopping order,Shopping
purchased uber trip for $6.63 last week,Transport
subway sandwich,Food
mortgage terryfurt,Housing
had to pay $114.30 for Clothing store last month,Shopping
Taxi,Transport
Mortgage 02/12,Housing
Workshop fee Lovestad,Education
Spent $417.73 on Trash collection,Utilities
Car insurance 01/18,Transport
charged $169.95 to concert tickets,Entertainment
Trash collection cost $429.65,Utilities
kitchen supplies txn-82709297,Shopping
Bus ticket 03/19,Transport
bought icloud storage for $243.47,Subscription
$412.47 for Subway sandwich,Food
Gas bill cost me 50.44,Utilities
Paid $26.77 for Pizza delivery this week,Food
I paid $304.23 at Department store yesterday,Shopping
$344.80 for parking ticket,Transport
I bought Phone bill AT&T $321.44 last month,Utilities
Paid $241.58 for School supplies,Education
HOA fees Kingville,Housing
health insurance premium $8.82,Healthcare
Department store Anthonyport,Shopping
Paid $200.24 for Electronics store,Shopping
paid 207.66 for hbo max,Subscription
I spent $22.50 on Taxi,Transport
kfc north timothymouth,Food
Department store 04/16,Shopping
Bought Movie theater for $41.82,Entertainment
Bus ticket TXN-92901995,Transport
Spent $232.07 on Trash collection,Utilities
gas bill,Utilities
I spent 487.67 on Karaoke night,Entertainment
Paid $192.53 for PlayStation Plus,Subscription
donation txn-44230913,Other
Car insurance cost me 216.88,Transport
Spent $207.51 on Taxi,Transport
Uber trip,Transport
Paid $68.16 for Furniture store today,Shopping
walmart groceries txn-20452575,Food
I spent $369.99 on Dental checkup,Healthcare
Oil change,Transport
charged $348.20 to cell phone bill,Utilities
Bowling Kimchester,Entertainment
Arcade games 01/07,Entertainment
Property tax 01/22,Housing
i paid $256.96 at apartment rent on 03/03,Housing
I paid $241.99 at Haircut,Other
charged $495.76 to rent payment last month,Housing
vitamins and supplements molinamouth,Healthcare
Pharmacy cost me 96.97 GhuAqI,Other
Haircut TXN-90613357,Other
Tuition payment,Education
theme park txn-87427790,Entertainment
I spent $107.55 on Theme park,Entertainment
Trash collection TXN-55974400,Utilities
I paid $340.54 at Google One storage,Subscription
doctor visit new gregorystad,Healthcare
Department store,Shopping
had to pay $290.06 for Hulu subscription,Subscription
i paid $475.95 at youtube premium,Subscription
Spent $49.16 on Target groceries,Food
iCloud storage Kimberlyborough,Subscription
purchased Car insurance for $333.17 last month,Transport
Therapy session 03/15,Healthcare
Paid 230.34 for Doctor visit uYQnvK,Healthcare
Book purchase TXN-75824921,Other
Amazon Prime East Ray,Subscription
Doctor copay,Other
Museum tickets 01/18,Entertainment
zoo visit txn-16331587,Entertainment
Paid 215.90 for Gas bill,Utilities
I spent $41.80 on Dry cleaning,Other
Paid $112.97 for Restaurant dinner,Food
Furniture store TXN-09102583,Shopping
Spent $370.77 on KFC,Food
Home insurance 02/16,Housing
phone bill at&t $466.70 last month,Utilities
Bought Book purchase for $286.47,Other
Spent $309.79 on Gas bill,Utilities
pizza delivery txn-74504077,Food
Paid 245.44 for Coursera subscription,Education
Spent 30.62 on Concert tickets,Entertainment
costco groceries txn-41374610,Food
car repair south angela,Transport
Water bill,Utilities
spent 34.79 on gift yesterday,Other
amazon prime cost $297.03,Subscription
Phone bill AT&T,Utilities
purchased hoa fees for $117.64,Housing
Paid $367.14 for Property tax,Housing
Paid 166.82 for Lyft ride,Transport
Bought Online course for $112.70,Education
had to pay $342.09 for museum tickets,Entertainment
I spent 239.29 on Physical therapy,Healthcare
I spent 35.71 on Eye exam CTEuGi,Healthcare
Tuition payment cost $54.79,Education
Arcade games Brownport,Entertainment
coffee shop txn-16827493,Food
Charged $183.83 to Amazon purchase,Shopping
Movie theater,Entertainment
$219.32 for Vitamins and supplements,Healthcare
Eye exam Ramirezside,Healthcare
Spent 21.25 on Escape room,Entertainment
Audible membership 01/09,Subscription
Kitchen supplies Lake Sandraberg,Shopping
Pharmacy prescription South Allison,Healthcare
Apartment rent,Housing
home decor 01/31,Shopping
Paid 468.57 for Home insurance yesterday,Housing
Oil change,Transport
School supplies 02/01,Education
I bought Water bill $408.43 last month,Utilities
online shopping order michellehaven,Shopping
rent payment east april,Housing
Coursera subscription Port Pamela,Education
Gift Gillespieshire,Other
School supplies 02/19,Education
Tuition payment Billyburgh,Education
Spent 86.12 on Gas station,Transport
spent $426.03 on gift yesterday,Other
I spent 257.56 on Zoo visit,Entertainment
Eye exam,Healthcare
Spent $488.25 on Amazon purchase,Shopping
Subway pass cost $201.76,Transport
i paid $357.59 at trash collection yesterday,Utilities
Textbook purchase cost $191.56,Education
Lyft ride cost me 325.99,Transport
Paid $161.39 for Home decor,Shopping
Subway pass nvlKiW,Transport
home insurance txn-42479192,Housing
Lyft ride 04/21,Transport
Spent 225.00 on Starbucks on Monday,Food
I paid $284.01 at Mortgage,Housing
internet service 02/26,Utilities
purchased Gas bill for $316.03,Utilities
I spent 248.67 on Costco groceries,Food
I bought Pharmacy $237.42 last week,Other
uber trip txn-05787333,Transport
Paid 408.29 for Doctor visit,Healthcare
$179.56 for comedy show,Entertainment
Donation 04/18,Other
purchased Vitamins and supplements for $74.26,Healthcare
apartment rent 02/14,Housing
Charged $316.80 to Shoes purchase,Shopping
Spent $443.89 on Taxi this week,Transport
rent payment,Housing
Pharmacy prescription 02/05,Healthcare
pharmacy shorthaven,Other
had to pay $100.64 for Furniture store,Shopping
Coffee shop TXN-45643170,Food
i spent 377.05 on electric bill,Utilities
I bought Arcade games $115.42,Entertainment
had to pay $493.70 for Oil change today,Transport
I bought Pharmacy prescription $477.90,Healthcare
Starbucks New Rachelport,Food
Paid $144.05 for Lab tests,Healthcare
I spent 100.86 on Vitamins and supplements,Healthcare
Movie theater cost me 146.89 today,Entertainment
had to pay $429.63 for Rent payment last week,Housing
Phone bill AT&T Port Juanchester OTvrQy,Utilities
Spent 344.59 on Heating bill,Utilities
Bowling $307.38,Entertainment
Clothing store West Joshuaville,Shopping
Bought Google One storage for $474.10,Subscription
movie theater 04/17,Entertainment
Bought Maintenance for $295.14 yesterday,Housing
Arcade games Meganhaven,Entertainment
Jewelry purchase 01/05,Shopping
purchased Dental checkup for $59.12,Healthcare
Pet food TXN-73255949,Other
$407.99 for Lab tests,Healthcare
Spent $29.73 on Bowling,Entertainment
Paid $197.94 for Concert tickets,Entertainment
had to pay $321.01 for Furniture store,Shopping
i spent 337.36 on home insurance,Housing
Bought Car insurance for $101.89 yesterday,Transport
therapy session txn-91002327,Healthcare
mcdonalds 01/22,Food
Health insurance premium cost $134.53,Healthcare
Amazon Prime cost me 468.37,Subscription
I bought Online shopping order $416.27,Shopping
Paid 189.78 for Property tax this week,Housing
Charged $191.56 to Internet service,Utilities
Spent 38.14 on Eye exam,Healthcare
Bowling,Entertainment
had to pay $165.01 for theme park,Entertainment
paid 386.02 for doctor copay this morning,Other
HBO Max $68.12 this week,Subscription
microsoft 365 cost $424.95 on monday,Subscription
$327.05 for karaoke night,Entertainment
Uber trip West Elizabethstad,Transport
Bought Health insurance premium for $31.60,Healthcare
Amazon purchase,Shopping
Car insurance,Transport
$430.40 for Amazon purchase this morning,Shopping
purchased Tutoring session for $193.27,Education
Target groceries 03/15,Food
Paid $475.60 for Home insurance,Housing
Electronics store cost $165.65,Shopping
escape room,Entertainment
paid $133.44 for clothing store,Shopping
cell phone bill 03/08,Utilities
Uber trip $194.43 yesterday TauYcT,Transport
Gym membership,Subscription
dining at olive garden,Food
I bought Haircut $337.48 last month,Other
I spent $102.87 on Internet service yesterday,Utilities
Charged $457.44 to Amazon purchase,Shopping
Pet food Pattersonmouth,Other
had to pay $460.98 for Gift,Other
I bought Online shopping order $482.72,Shopping
i paid $95.32 at concert tickets this morning,Entertainment
Movie theater 03/06,Entertainment
had to pay $51.83 for Rent payment,Housing
had to pay $483.15 for kfc,Food
Pet food cost me 14.23,Other
I paid $67.59 at Karaoke night,Entertainment
Doctor visit TXN-93851084,Healthcare
book purchase $178.36,Other
I spent $335.21 on Book purchase,Other
I spent $316.01 on Escape room,Entertainment
eye exam $185.81 GndMdZ,Healthcare
Home insurance North Robert,Housing
bus ticket cost $477.02,Transport
I paid $98.35 at Trash collection zDawjE,Utilities
Doctor visit $493.59,Healthcare
Apartment rent cost me 170.27,Housing
Paid 336.68 for Dining at Olive Garden last week,Food
Coursera subscription cost me 128.76,Education
Department store,Shopping
internet service martinezchester,Utilities
had to pay $27.96 for Gift,Other
Gas station 02/11,Transport
Language learning app 01/02,Education
Online course 01/22,Education
doctor copay cost $74.12,Other
Oil change TXN-91568694,Transport
had to pay $22.99 for Water bill,Utilities
Mortgage East Feliciafurt,Housing
pizza delivery cost me 302.98,Food
Bought Mortgage for $386.36,Housing
I spent 489.27 on Kitchen supplies,Shopping
I spent $175.61 on Phone bill AT&T,Utilities
Furniture store North Dana,Shopping
KFC TXN-73492849,Food
Heating bill 04/18,Utilities
Museum tickets,Entertainment
movie theater txn-89465219,Entertainment
Certification exam Ramseystad,Education
I spent 43.64 on Hulu subscription,Subscription
Amazon purchase cost me 485.59,Shopping
Spent 72.96 on Trash collection this morning,Utilities
had to pay $364.13 for Shoes purchase this week,Shopping
pet food txn-02604817,Other
parking ticket txn-47242401,Transport
Costco groceries cost me 419.04,Food
$396.63 for Online course last month GDNoev,Education
home insurance txn-66339335,Housing
I paid $486.63 at Jewelry purchase,Shopping
I bought Hulu subscription $52.03 last month,Subscription
Jewelry purchase 01/29,Shopping
hoa fees 04/21,Housing
I paid $38.88 at Urgent care visit last week,Healthcare
had to pay $449.16 for Cell phone bill,Utilities
clothing store 01/12,Shopping
Language learning app $238.25,Education
spent 117.88 on youtube premium this week,Subscription
Spent 100.29 on Uber trip,Transport
Spent $377.33 on Bus ticket,Transport
Spent $347.26 on Pharmacy,Other
$391.75 for Donation on Monday,Other
I spent $439.69 on House payment,Housing
Car repair cost $195.74 on 01/17 XGbKRm,Transport
Haircut 03/25,Other
Spent $29.89 on Vitamins and supplements,Healthcare
Arcade games TXN-84087102,Entertainment
restaurant dinner lake carolineside,Food
paid $480.09 for playstation plus yesterday,Subscription
Pizza delivery TXN-37607296,Food
I paid $114.00 at Trash collection last week,Utilities
online shopping order,Shopping
$227.95 for Language learning app RJSnrX,Education
tutoring session,Education
HOA fees TXN-21772368,Housing
i paid $433.99 at playstation plus,Subscription
Restaurant dinner cost me 477.58 on Monday,Food
Google One storage West Michaelborough,Subscription
Parking ticket,Transport
Coursera subscription,Education
purchased Urgent care visit for $38.85 yesterday,Healthcare
Bought Eye exam for $454.43,Healthcare
Online course cost me 164.74 jsZBfN,Education
water bill,Utilities
Starbucks cost $397.64,Food
Pharmacy prescription cost $52.87 this week,Healthcare
paid $310.79 for heating bill,Utilities
Spent $486.49 on Clothing store,Shopping
Spent 200.76 on Udemy course,Education
Workshop fee $111.22,Education
Paid $421.13 for Mortgage,Housing
purchased Online course for $278.38,Education
Home insurance New Andretown,Housing
$98.55 for Doctor visit tdTvsT,Healthcare
whole foods cost $399.03,Food
I spent $373.01 on Phone bill AT&T on 04/16,Utilities
Netflix subscription,Subscription
spent 478.46 on taxi this week,Transport
Spent 341.39 on Hulu subscription on Monday,Subscription
dental checkup brandonview,Healthcare
bought internet service for $467.65 this morning,Utilities
Spent $127.82 on Tutoring session this week,Education
i paid $198.75 at dental checkup,Healthcare
Charged $377.03 to Udemy course,Education
Online shopping order 02/25,Shopping
Amazon purchase $348.30 ACfjES,Shopping
donation $30.74 this week,Other
I spent $34.31 on Lyft ride on 04/13,Transport
purchased Heating bill for $5.02,Utilities
spent $94.74 on furniture store,Shopping
bus ticket 01/07,Transport
maintenance 03/18,Housing
charged $377.41 to phone bill at&t,Utilities
had to pay $442.58 for Comedy show last week,Entertainment
had to pay $12.40 for Eye exam last month,Healthcare
I spent 161.27 on Electronics store on Monday,Shopping
Pet food 01/22,Other
doctor visit craigmouth PEhYDy,Healthcare
iCloud storage $147.37,Subscription
I bought Cell phone bill $335.70 last week,Utilities
I paid $42.95 at Costco groceries,Food
Pharmacy prescription cost $69.09 on 03/05,Healthcare
Paid $99.37 for Health insurance premium,Healthcare
I spent $131.14 on Comedy show,Entertainment
Mortgage TXN-85393493,Housing
Paid 81.80 for Book purchase on Monday,Other
Spent $145.33 on Escape room,Entertainment
hoa fees txn-13378691,Housing
Internet service,Utilities
paid 297.75 for doctor copay,Other
had to pay $482.05 for coursera subscription this week,Education
I bought Home insurance $422.27,Housing
Arcade games TXN-21103216,Entertainment
Mortgage 04/11,Housing
Pharmacy Drakeville,Other
Jewelry purchase,Shopping
Parking ticket cost $116.89,Transport
Spent $111.23 on Escape room,Entertainment
Donation 02/25,Other
Tuition payment TXN-02541655,Education
Certification exam cost $358.79,Education
physical therapy west robert,Healthcare
had to pay $367.57 for Workshop fee,Education
